SessionID,TreatmentNumber,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,Pair,RoleTrust,InGroup,input_self[1],input_self[2],input_self[3],input_self[4],input_self[5],input_self[6],input_other[1],input_other[2],input_other[3],input_other[4],input_other[5],input_other[6],chosen_option[1],chosen_option[2],chosen_option[3],chosen_option[4],chosen_option[5],chosen_option[6],item_order[1],item_order[2],item_order[3],item_order[4],item_order[5],item_order[6],random_numbers[1],random_numbers[2],random_numbers[3],random_numbers[4],random_numbers[5],random_numbers[6],all_unique,item_rank,svoGroup,Role,raven1,raven2,raven3,raven4,raven5,Q1,Q2,Q3,Q4,Q5,GroupCorrect1,GroupCorrect2,GroupCorrect3,GroupCorrect4,GroupCorrect5,ravenfeedback1,RoleDictator,TrustGame,TrustGameResponder,trustfeedback1,Trio,Allocation,ravenprofit,trustprofit,dictatorprofit,AllocationDummy,TimeOKColorOK,TimeChatGroup1raven1OK,TimeChatGroupraven2OK,TimeChatGroupraven3OK,TimeChatGroupraven4OK,TimeChatGroupraven5OK,checker1,checker2,checker3,counter,fakepropose,fakerespond,TimePracticeTrustOK,TimeAEPracticeTrustOK,TimeTrustGameProposeOK,TimeAETrustGameResponseOK,Other1,Other2,Other1Team,Other2Team,Other1Num,Other2Num,TimeDictatorAllocateOK,random_dict,Dictator_roundpay,Dictator_team,Dictator_num,random_round,DictatorProfit,SelectedTeam,SelectedNum,item_num,self[1],self[2],self[3],self[4],self[5],self[6],self[7],self[8],self[9],other[1],other[2],other[3],other[4],other[5],other[6],other[7],other[8],other[9],option,LeaveStage,TimeSVOItemsOK,TimeKillSVOItemsOK,mean_to_self,mean_to_other,k,svo_angle,svo_type,avg_dist_to_equality,avg_dist_to_altruist,avg_dist_to_joint,avg_dist_to_indiv,j,not_altru_indiv,inequality_aversion_score,payed_slider,svoProfit,kept_of_sender,received_from_sender,TimeSummaryOK,q1,q2,q3,q4,q5,TimeOKCollectivismOK,totalpayoff,ToPay,TimeFinalFeedbackOK,
150114_1400,2,subjects,1,11,3,0,0,0,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,4,3,5,0.986445843,0.236726208,0.182375486,0.492629663,0.371323941,0.668203397,1,1,5,2,1,7,6,2,6,10,0,10,10,10,0,0,5,5,0,-1,2,1,0,-1,4,35,50,149,0,35,25,58,85,99,3,59,1,0,0,4,0,0,99999,99999,16,0,3,1,6,1,4,3,99999,1,35,1,3,4,0,0,0,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,4,0,0,0,-,-1,-1,-1,-1,-1,-,199,34,-,
150114_1400,2,subjects,1,12,3,0,0,0,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,4,3,5,0.270742627,0.091315012,0.954151752,0.553599069,0.506341886,0.839256447,1,1,5,1,0,7,6,2,8,0,0,10,10,0,0,0,5,5,0,-1,1,150,225,-1,3,35,30,225,0,35,0,0,7,75,4,63,0,1,1,4,80,100,99999,99999,2,0,2,3,5,6,4,3,99999,1,30,3,4,2,0,0,0,2,170,174,178,181,185,189,193,196,200,30,39,48,56,65,74,83,91,100,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,4,0,0,0,-,-1,-1,-1,-1,-1,-,255,43,-,
150114_1400,2,subjects,1,13,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,5,3,1,0.494501774,0.613541137,0.981892557,0.942270156,0.514032864,0.192000118,1,1,8,2,1,3,6,2,6,10,0,10,10,10,5,0,5,5,5,-1,3,150,225,-1,1,35,60,225,0,35,25,92,17,39,73,17,1,0,0,4,150,0,99999,99999,22,21,1,2,1,2,2,1,99999,1,30,1,2,5,0,0,0,2,170,174,178,181,185,189,193,196,200,30,39,48,56,65,74,83,91,100,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,2,0,0,0,-,-1,-1,-1,-1,-1,-,285,48,-,
150114_1400,2,subjects,1,14,4,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,1,4,3,0.492957805,0.189133724,0.386794524,0.143013422,0.317190715,0.273414098,1,1,8,1,1,7,6,2,6,10,0,10,10,10,5,0,5,5,5,-1,2,5,0,-1,2,35,60,15,0,35,26,11,7,88,59,16,1,0,0,5,0,0,99999,99999,24,21,3,1,6,1,2,1,99999,1,35,1,1,1,35,1,1,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,2,0,0,0,-,-1,-1,-1,-1,-1,-,110,19,-,
150114_1400,2,subjects,1,15,4,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,6,4,0.386957519,0.33062436,0.495409238,0.855572388,0.973477523,0.730395879,1,1,7,2,1,7,6,2,6,10,0,10,10,10,5,0,5,5,5,-1,2,100,50,-1,8,35,60,250,0,35,24,33,2,17,4,4,0,1,1,4,30,5,99999,99999,24,-4,3,1,4,2,4,4,99999,1,35,2,4,5,0,0,0,2,170,174,178,181,185,189,193,196,200,30,39,48,56,65,74,83,91,100,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,2,0,0,0,-,-1,-1,-1,-1,-1,-,310,52,-,
150114_1400,2,subjects,1,16,4,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,6,1,2,0.841476097,0.945986145,0.763538442,0.964796071,0.123920654,0.141829429,1,1,7,1,1,3,6,2,6,10,0,10,10,10,5,0,5,5,5,-1,3,150,150,-1,8,35,60,300,0,35,7,6,4,18,13,29,0,1,1,4,20,10,99999,99999,16,-12,1,2,2,4,4,3,99999,1,35,2,4,5,0,0,0,4,100,109,118,126,135,144,153,161,170,200,179,158,136,115,94,73,51,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,2,0,0,0,-,-1,-1,-1,-1,-1,-,360,60,-,
150114_1400,2,subjects,1,17,5,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,6,1,2,0.803623217,0.345852496,0.785885886,0.857877461,0.105606094,0.266451886,1,1,10,2,1,6,6,2,6,10,0,10,10,10,5,0,5,5,5,-1,3,50,50,-1,7,35,60,100,0,35,27,71,4,79,109,48,0,1,1,4,75,100,99999,99999,17,17,1,2,3,3,1,2,99999,1,35,3,1,5,0,0,0,5,200,188,175,163,150,138,125,113,100,100,113,125,138,150,163,175,188,200,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,160,27,-,
150114_1400,2,subjects,1,18,5,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,6,5,3,0.343061675,0.071279895,0.595020767,0.770496245,0.734431852,0.581690186,1,1,10,1,1,7,6,2,6,10,0,10,10,10,5,0,5,5,5,-1,2,30,30,-1,5,35,60,60,0,35,26,60,12,84,1,14,0,1,1,4,65,65,99999,99999,23,15,3,1,6,2,1,2,99999,1,50,2,2,2,0,0,0,2,170,174,178,181,185,189,193,196,200,30,39,48,56,65,74,83,91,100,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,120,20,-,
150114_1400,2,subjects,1,19,5,0,0,0,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,3,5,1,0.657373972,0.384089187,0.837571921,0.466955669,0.781507521,0.324938576,1,1,9,2,1,7,6,2,6,10,0,10,10,10,5,0,5,5,5,-1,3,30,45,-1,6,70,60,45,0,0,27,49,4,102,5,8,0,1,1,4,100,100,99999,99999,19,16,1,2,1,2,4,3,99999,1,35,1,4,5,0,0,0,4,100,109,118,126,135,144,153,161,170,200,179,158,136,115,94,73,51,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,105,18,-,
150114_1400,2,subjects,1,20,5,0,0,0,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,2,4,3,0.019569719,0.688757201,0.626751366,0.42850231,0.62658319,0.485932631,1,1,9,1,1,7,6,2,6,10,0,10,10,10,5,0,5,5,5,-1,2,150,225,-1,3,35,60,225,0,35,27,13,2,109,30,11,0,1,1,4,40,1,99999,99999,14,26,3,1,6,3,3,4,99999,1,35,3,4,2,0,0,0,1,170,170,170,170,170,170,170,170,170,170,153,135,118,100,83,65,48,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,285,48,-,
150114_1400,2,subjects,1,21,6,0,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,4,3,2,0.001196264,0.695630379,0.459777827,0.356540232,0.346482117,0.277444681,1,1,12,2,1,2,6,2,6,10,0,10,10,10,5,0,5,5,5,-1,3,150,225,-1,5,30,60,225,0,40,28,91,3,100,85,25,1,0,0,4,0,0,99999,99999,25,19,1,2,2,5,2,2,99999,1,20,2,2,2,0,0,0,1,170,170,170,170,170,170,170,170,170,170,153,135,118,100,83,65,48,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,285,48,-,
150114_1400,2,subjects,1,22,6,0,0,0,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,4,2,1,0.641579078,0.989436261,0.921614904,0.784076985,0.371681434,0.012758305,1,1,12,1,1,1,6,2,6,10,0,10,10,10,5,0,5,5,5,-1,3,150,225,-1,2,35,60,225,0,35,19,23,0,12,0,2,0,1,1,4,75,75,99999,99999,2,18,1,2,1,4,1,2,99999,1,35,1,1,2,0,0,0,3,100,109,118,126,135,144,153,161,170,200,196,193,189,185,181,178,174,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,285,48,-,
150114_1400,2,subjects,1,23,6,0,0,0,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,6,1,4,0.294740881,0.76833953,0.319916343,0.849865867,0.242652784,0.734503548,1,1,11,2,1,1,6,2,6,10,0,10,10,10,5,0,5,5,5,-1,3,1,0,-1,3,35,60,3,0,35,17,59,2,74,90,6,1,0,0,4,150,0,99999,99999,24,16,1,2,3,5,4,4,99999,1,35,3,4,4,0,0,0,2,170,174,178,181,185,189,193,196,200,30,39,48,56,65,74,83,91,100,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,63,11,-,
150114_1400,2,subjects,1,24,6,0,0,0,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,1,2,4,0.83396897,0.346186502,0.745772788,0.125088465,0.256848806,0.428829388,1,1,11,1,1,7,6,2,6,10,0,10,10,10,5,0,5,5,5,-1,3,150,225,-1,4,35,60,225,0,35,20,95,1,22,4,25,1,0,0,4,0,0,99999,99999,5,15,1,2,1,3,3,3,99999,1,35,1,3,4,0,0,0,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,285,48,-,
150114_1400,2,subjects,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,1,2,5,0.350341643,0.970198108,0.275263469,0.011163675,0.203243161,0.361816399,1,1,2,2,1,3,6,2,8,10,0,10,10,0,5,0,5,5,0,-1,1,0,0,-1,7,35,45,225,0,35,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,2,3,5,5,1,3,99999,3,0,5,3,1,30,1,1,4,100,109,118,126,135,144,153,161,170,200,179,158,136,115,94,73,51,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,300,50,-,
150114_1400,2,subjects,2,2,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,2,5,1,0.809226732,0.49175376,0.647795071,0.335531293,0.809162803,0.059040157,1,1,2,1,1,6,6,2,5,10,0,10,10,0,5,0,5,5,0,-1,1,0,0,-1,4,35,45,145,0,35,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,2,3,4,5,4,2,99999,3,35,5,2,3,0,0,0,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,190,32,-,
150114_1400,2,subjects,2,3,1,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,2,1,4,0.442260081,0.905432515,0.780070673,0.430509365,0.153203673,0.622113051,1,1,1,2,1,3,6,2,6,10,0,10,10,10,5,0,5,5,0,-1,1,0,0,-1,5,35,55,100,0,35,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,2,3,2,4,1,3,99999,3,50,4,3,3,0,0,0,3,100,109,118,126,135,144,153,161,170,200,196,193,189,185,181,178,174,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,155,26,-,
150114_1400,2,subjects,2,4,1,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,2,3,1,0.232236765,0.250715777,0.660557576,0.07029069,0.231291393,0.03540262,1,1,1,1,1,7,6,2,6,10,0,10,10,10,5,0,5,5,0,-1,1,0,0,-1,3,35,55,150,0,35,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,2,3,3,4,4,2,99999,3,35,4,2,1,30,1,4,4,100,109,118,126,135,144,153,161,170,200,179,158,136,115,94,73,51,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,235,40,-,
150114_1400,2,subjects,2,5,2,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,5,1,6,0.493316744,0.287913425,0.39444052,0.905444705,0.027385154,0.991176999,1,1,4,2,1,4,6,2,6,10,10,10,10,10,5,5,0,5,5,-1,2,0,0,-1,5,35,70,150,0,35,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,3,1,4,1,3,3,99999,3,20,4,3,2,20,4,3,4,100,109,118,126,135,144,153,161,170,200,179,158,136,115,94,73,51,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,240,40,-,
150114_1400,2,subjects,2,6,2,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,3,2,6,0.673687187,0.832542471,0.039245585,0.415176442,0.144335448,0.845872482,1,1,4,1,1,4,6,2,6,10,10,10,10,10,5,5,0,5,5,-1,1,0,0,-1,8,35,70,150,0,35,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,2,3,2,6,4,4,99999,3,35,6,4,5,0,0,0,4,100,109,118,126,135,144,153,161,170,200,179,158,136,115,94,73,51,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,220,37,-,
150114_1400,2,subjects,2,7,2,0,0,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,4,2,3,0.714302092,0.70997875,0.515796552,0.612249571,0.578808556,0.599228431,1,1,3,2,1,4,0,2,6,10,10,0,10,10,5,5,0,5,5,-1,1,0,0,-1,2,43,60,165,0,27,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,2,3,3,6,1,3,99999,3,30,6,3,5,0,0,0,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,225,38,-,
150114_1400,2,subjects,2,8,2,0,0,0,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,5,6,0.058957255,0.185905242,0.078542886,0.541310837,0.627881789,0.960942277,1,1,3,1,1,4,6,2,6,10,10,10,10,10,5,5,0,5,5,-1,2,0,0,-1,8,35,70,225,0,35,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,3,1,6,2,4,2,99999,3,35,6,4,5,0,0,0,1,170,170,170,170,170,170,170,170,170,170,153,135,118,100,83,65,48,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,295,50,-,
150114_1400,2,subjects,2,9,3,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,5,1,3,0.596136518,0.420056937,0.509409443,0.512290055,0.087455114,0.474807493,1,1,6,2,1,7,6,2,3,10,0,10,10,0,0,0,5,5,0,-1,2,0,0,-1,2,40,40,225,0,30,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,3,1,6,2,3,3,99999,3,40,6,3,5,0,0,0,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,6,0,0,0,-,-1,-1,-1,-1,-1,-,265,45,-,
150114_1400,2,subjects,2,10,3,0,0,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,6,3,4,0.870454318,0.192569512,0.711825049,0.992652602,0.718880442,0.851745311,1,1,6,1,1,7,6,2,6,10,0,10,10,10,0,0,5,5,0,-1,1,0,0,-1,6,35,50,225,0,35,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,2,3,5,6,4,2,99999,3,35,6,2,5,0,0,0,5,200,188,175,163,150,138,125,113,100,100,113,125,138,150,163,175,188,200,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,6,0,0,0,-,-1,-1,-1,-1,-1,-,275,46,-,
